County,Resource Type,Organization,Website,Phone,Address
Potter,Primary Care Physician Office/Health Center,UPMC Central Potter Health Center,https://www.upmc.com/locations/outpatient/north-central-pa/coudersport,(814) 274-5577,"71 Elk StreetCoudersport, PA 16915"
Allegheny,Children's Hospital,UPMC Children’s Hospital of Pittsburgh,https://www.chp.edu/,(412) 946-8303,"4401 Penn AvenueOne Children's Hospital DrivePittsburgh, PA 15224"
Potter,General Hospital,UPMC Cole,https://www.upmc.com/locations/hospitals/cole,(814) 274-9300,"1001 E. 2nd StreetCoudersport, PA 16915"
Potter,General Hospital,UPMC Cole,https://www.upmc.com/locations/hospitals/cole,(814) 274-9300,"1001 E 2nd StCoudersport, PA 16915"
Allegheny,General Hospital,UPMC East,https://www.upmc.com/locations/hospitals/east,(412) 357-3000,"2775 Mosside BlvdMonroeville, PA 15146"
Allegheny,Psychiatric Hospital,UPMC Center for Eating Disorders,https://www.upmc.com/services/behavioral-health/eating-disorders,(412) 246-6390,"3811 O'Hara Street8th FloorPittsburgh, PA 15213"
Erie,General Hospital,UPMC Hamot,https://www.upmc.com/locations/hospitals/hamot,(814) 877-6000,"201 State StErie, PA 16550"
York,General Hospital,UPMC Hanover,https://www.upmc.com/locations/hospitals/hanover,(717) 316-3711,"300 Highland Ave/hanover, PA 17331"
Mercer,General Hospital,UPMC Horizon – Shenango Valley,https://www.upmc.com/locations/hospitals/horizon/locations/shenango-valley,(724) 981-3500,"2200 Memorial DriveFarrell, PA 16121"
Mercer,General Hospital,UPMC Horizon- Greenville,https://www.upmc.com/locations/hospitals/horizon/locations/greenville,(724) 588-2100,"110 N. Main StreetGreenville, PA 16125"
Mercer,General Hospital,UPMC Horizon- Shenango Valley,https://www.upmc.com/locations/hospitals/horizon/locations/shenango-valley,(724) 981-3500,"2200 Memorial DriveFarrell, PA 16121"
Lawrence,General Hospital,UPMC Jameson,https://www.upmc.com/locations/hospitals/jameson,(724) 658-9001,"1211 Wilmington Ave.New Castle, PA 16105"
Lawrence,PHP/IOP,UPMC Jameson Partial Hospitalization Program,https://www.upmc.com/locations/hospitals/jameson/services/behavioral-health,(724) 531-6616,"253 E. Washington St.Suite 200New Castle, PA 16101"
McKean,General Hospital,UPMC Kane,https://www.kanecommunityhospital.com/,(814) 837-8585,"4372 US-6Kane, PA 16735"
Lancaster,General Hospital,UPMC Lititz,https://www.upmc.com/locations/hospitals/lititz,(717) 625-5000,"1500 Highlands DriveLititz, PA 17543"
Clinton,General Hospital,UPMC Lock Haven,https://www.upmc.com/locations/hospitals/lock-haven,(570) 893-5000,"24 Cree DriveLock Haven, PA 17745"
Allegheny,General Hospital,UPMC McKeesport,https://www.upmc.com/locations/hospitals/mckeesport,(412) 664-2000,"1500 5th AveMcKeesport, PA 15132"
York,General Hospital,UPMC Memorial,https://www.upmc.com/locations/hospitals/memorial,(717) 843-8623,"1701 Innovation DriveYork, PA 17408"
Philadelphia,Community Organization,Unity Recovery – Recovery Community Organization,www.unityrecovery.org,(267) 748-2454,"106 Gay Street2nd FloorPhiladelphia, PA 19127"
Philadelphia,Secondary Schools,Universal Audenreid Charter HS,https://www.universalfamilyofschools.org/universal-audenreid-charter-high-school/,(215) 952-4801,"3301 Tasker StreetPhiladelphia, PA 19145"
Philadelphia,College/University,University of Pennsylvania,https://www.upenn.edu/,(215) 898-5000,"1 College HallPhiladelphia, PA 19104"
Philadelphia,College Counseling Center,University of Pennsylvania Counseling and Psychological Services (CAPS),http://www.vpul.upenn.edu/caps/,(215) 898-7021,"3624 Market Street1st Floor WestPhiladelphia, PA 19104"
Philadelphia,College/University,University of Pennsylvania: Neurodevelopment and Psychosis Section,,,"3400 Spruce Street10 Gates (HUP)Philadelphia, PA 19104"
Allegheny,College Counseling Center College/University,University of Pittsburgh;  University of Pittsburgh Counseling Center,https://www.pitt.edu/,(412) 624-4141,"4200 Fifth AvenuePittsburgh, PA 15260"
McKean,College Counseling Center College/University,"University of Pittsburgh – Bradford;  University of Pittsburgh, Bradford, Counseling Services",https://upb.pitt.edu/,(814) 362-7500,"300 Campus Drive233 Frame-Westerberg CommonsBradford, PA 16701"
Westmoreland,College/University,University of Pittsburgh – Greensburg,https://www.greensburg.pitt.edu/,(724) 837-7040,"150 Finoli DriveGreensburg, PA 15601"
Cambria,College/University,University of Pittsburgh – Johnstown,https://www.johnstown.pitt.edu/,(814) 269-7000,"450 Schoolhouse RoadJohnstown, PA 15904"
Crawford,College/University,University of Pittsburgh – Titusville,https://www.titusville.pitt.edu/,(888) 878-0462,"504 East Main StreetTitusville, PA 16354"
Allegheny,College Counseling Center,University of Pittsburgh University Counseling Center,,,"119 University PlaceWellness Center, Nordenberg HallPittsburgh, PA 15260"
Philadelphia,College Counseling Center,University of Sciences Student Counseling Services,,,"600 South 43rd StreetWhitecar Hall, 1st floor, Suite 1200Philadelphia, PA 19104"
Lackawanna,College/University,University of Scranton,https://www.scranton.edu/,(570) 941-7400,"800 Linden StreetScranton, PA 18510"
Lackawanna,College Counseling Center,University of Scranton Counseling Center,https://www.scranton.edu/studentlife/studentaffairs/counseling-center/index.shtml,(570) 941-7620,"800 Linen StreetCounseling Center, O'Hara Hall, 6th floor, The University of ScrantonScranton, PA 18510"
Philadelphia,College/University,University of the Arts,https://www.uarts.edu/,(215) 717-6000,"320 S Broad StreetPhiladelphia, PA 19102"
Philadelphia,College Counseling Center,University of the Arts UArts Counseling,,,"401 South Broad StreetGershman Hall, Room 307Philadelphia, PA 19147"
Blair,Crisis Center/Hospital General Hospital Primary Care Physician Office/Health Center,UPMC Altoona Hospital; Altoona Behavioral Health (Part of Primary Health Network),https://primary-health.net/LocationDetail.aspx?id=48,(814) 889-2011,"620 Howard AveAltoona, PA 16601"
Blair,General Hospital,UPMC Altoona,https://www.upmc.com/locations/hospitals/altoona?utm_source=google&utm_campaign=business-profile&utm_content=upmcaltoona-altoona-website,(814) 889-2011,"620 Howard AvenueAltoona, PA 16601"
Beaver,Crisis Center/Hospital,UPMC Beaver Crisis,https://www.upmc.com/locations/hospitals/western-psychiatric/services/emergency,(724) 371-8060,"1020 8th AvenueSuite 136Beaver Falls, PA 15010"
Bedford,General Hospital,UPMC Bedford,https://www.upmc.com/locations/hospitals/bedford,(814) 623-6161,"10455 Lincoln HighwayEverett, PA 15537"
Washington,Secondary Schools,Trinity High School,https://ths.trinitypride.org/,(724) 225-5380,"231 Park AvenueWashington, PA 15301"
Adams,Community Organization,True North Wellness Services,https://www.truenorthwellness.org/about-us/,(717) 334-9111,"44 S. Franklin StreetGettysburg, PA 17325"
York,Crisis Center/Hospital Outpatient Behavioral Health Center PHP/IOP,TrueNorth Wellness Services,https://truenorthwellness.org/About-Us/Locations,(717) 632-4900,"625 West Elm AvenueHanover, PA 17331"
Fulton,Community Organization,TrueNorth Wellness Services,https://www.truenorthwellness.org/,(717) 485-3264,"119 Lincoln Way WestMcConnellsburg, PA 17233"
Wyoming,Secondary Schools,Tunkhannock High School,https://www.tasd.net/tahs/,(570) 836-8241,"135 Tiger DriveTunkhannock, PA 18657"
Allegheny,Parent Organization,Turtle Creek Elementary STEAM Academy PIE (Partners in Education),,(412) 824-2450,"126 Monroeville AvenueTurtle Creek, PA 15145"
Allegheny,Outpatient Behavioral Health Center PHP/IOP Residential Treatment Facility,"Turtle Creek Valley Community Services, Inc.",https://tcv.net/turtle-creek-location/#,(412) 824-8510,"519 Penn Avenue2nd FloorTurtle Creek, PA 15145"
Allegheny,Parent Organization Secondary Schools,Twin Rivers Elementary School; PTO,,(412) 664-3770,"1602 Cornell StreetMcKeesport, PA 15132"
Blair,Parent Organization Secondary Schools,Tyrone Area Elementary School; PTO,,(814) 684-1342,"601 Clay AveTyrone, PA 16686"
Blair,Secondary Schools,Tyrone Area High School; Tyrone Area Middle School,https://www.tyrone.k12.pa.us/,(814) 684-4240,"1001 Clay AveTyrone, PA 16686"
Blair,Secondary Schools,Tyrone Area School District,,(814) 684-0710,"701 Clay AveTyrone, PA 16686"
Blair,General Hospital,Penn Highlands Tyrone,https://www.phhealthcare.org/location/hospitals/penn-highlands-tyrone-660,(814) 684-1255,"187 Hospital DriveTyrone, PA 16686"
Lancaster,Primary Care Physician Office/Health Center,Union Community Care,www.unioncommunitycare.org,(717) 299-6371,"812 North Prince StreetLancaster, PA 17603"
Union,Primary Care Physician Office/Health Center,Union County,,(570) 523-1124,"1610 Industrial Blvd.Suite 100Lewisburg, PA 17837-9220"
Lehigh,Secondary Schools,Union Terrace Elementary School,https://unt.allentownsd.org/,(412) 765-5480,"1939 West Union StreetAllentown, PA 18104"
Fayette,Secondary Schools,Uniontown Area High School,http://uhs.uasdschools.org/,(724) 439-5000,"146 E. Fayette StreetUniontown, PA 15401"
Fayette,General Hospital,MVU Medicine – Uniontown Hospital,https://www.uniontownhospital.com/,(724) 430-5000,"500 West Berkeley StreetUniontown, PA 15401"
Fayette,General Hospital,"Uniontown Hospital, WVU Medicine",https://www.uniontownhospital.com/,(724) 430-5000,"500 West Berkeley StreetUniontown, PA 15401"
Cumberland,College/University,United State Army War College,https://www.armywarcollege.edu/,(717) 245-3131,"122 Forbes AvenueCarlisle, PA 17013"
Wayne,Private Psychiatry Practice,Unity Healing,https://www.unityhealingnow.com,(570) 504-2697,"616 Main St.Suite 303Honesdale, PA 18431"
Philadelphia,College/University,"Thomas Jefferson University, Center City",https://www.jefferson.edu/,(215) 951-2800,"1020 Walnut StreetPhiladelphia, PA 19107"
Montgomery,College/University,"Thomas Jefferson University, Jefferson Institute for Bioprocessing",https://www.jefferson.edu/academics/colleges-schools-institutes/kanbar-college-of-design-engineering-commerce/research-and-innovation/institute-for-bioprocessing.html,(267) 405-9508,"727 Norristown RoadSpring House Innovation Park, Building 6Spring House, PA 19002"
Berks,Community Organization,"Threshold Rehabilitation Services, Inc.",https://www.trsinc.org/,(610) 777-7691,"1000 Lancaster AvenueReading, PA 19607"
Fayette,Private Psychiatry Practice,Thrive Professional Counseling,https://thriveprofessionalcounseling.com/,(724) 322-6142,"64 S. Besson BoulevardUniontown, PA 15401"
Centre,Community Organization,"Tides, Inc.",https://tidesprogram.org/,(814) 692-2233,"2595 Clyde AveState College, PA 16804"
Lackawanna,Private Psychiatry Practice,"Tiffany Griffiths, PsD. & Associates – Dunmore",https://www.drtiffanygriffiths.com/,(570) 342-8434,"502 North Blakely St.Dunmore, PA 18512"
Tioga,Private Psychiatry Practice,Tioga Counseling Services,NA,(570) 662-7600,"275 St James StreetMansfield, PA 16933"
Tioga,Primary Care Physician Office/Health Center,Tioga County,,(570) 724-2911,"44 Plaza LaneWellsboro, PA 16901"
Forest,Primary Care Physician Office/Health Center,Tionesta Health Center,https://www.titusvillehospital.org/Locations/Tionesta-Health-Center.aspx,(814) 755-3631,"111 Bridge StreetTionesta, PA 16353"
Crawford,General Hospital,Titusville Area Hospital,https://www.titusvillehospital.org/,(814) 827-1851,"406 West Oak StreetTitusville, PA 16354"
Crawford,Secondary Schools,Titusville High School,https://www.gorockets.org/Titusville-High-School,(814) 827-2715 Ext: 1400,"302 E. Walnut St.Titusville, PA 16354"
Philadelphia,Community Organization,TJU Department of Psychiatry and Human Behavior,,(215) 955-9545,"1020 Sansom StreetSuite 1652Philadelphia, PA 19107"
Monroe,Parent Organization Secondary Schools,Tobyhanna Elementary Center; PTO,,(570) 839-7121 Ext: 24400,"398 Old Route 940Pocono Pines, PA 18350"
Westmoreland,Psychiatric Hospital,Torrance State Hospital,https://www.dhs.pa.gov/Services/Assistance/Pages/Torrance-State-Hospital.aspx,(886) 816-9212,"121 Longview DriveTorrance, PA 15779"
Bradford,Secondary Schools,Towanda Area Jr/ Sr High School,https://www.tsd.k12.pa.us/apps/pages/THS-Home,(570) 265-2101,"410 State StreetTowanda, PA 18848"
Berks,PHP/IOP Psychiatric Hospital,Tower Behavioral Health,www.towerbehavioralhealth.com,(412) 659-2330,"201 Wellness WayReading, PA 19605"
Berks,PHP/IOP Psychiatric Hospital,Tower Behavioral Health Services,https://towerhealth.org/locations/tower-behavioral-health-0,(833) 348-6937,"420 South Fifth AvenueWest Reading, PA 19611"
Westmoreland,Parent Organization Secondary Schools,Trafford Elementary/Middle School,https://te.penntrafford.org/    https://www.tespto.org/,(412) 372-6600,"100 E. Brinton AvenueTrafford, PA 15085"
Susquehanna,Community Organization,Trehab Community Action Agency,https://trehab.org/,(800) 982-4045,"36 Public AvenueMontrose, PA 18801"
Lehigh,Secondary Schools,Trexier Middle School,https://trx.allentownsd.org/,(412) 765-4600,"851 N. 15th StreetAllentown, PA 18102"
Wyoming,Community Organization,The Burke Center,https://burkecenter.org/,(570) 240-4774,"70 Hollow Crest RoadTunkhannock, PA 18657"
Allegheny,Outpatient Behavioral Health Center,The Children’s Institute of Pittsburgh,https://www.amazingkids.org/,(412) 420-2400,"1405 Shady AvenuePittsburgh, PA 15217"
Philadelphia,Crisis Center/Hospital PHP/IOP,The Cornerstone Center – CCTC; Children’s Crisis Treatment Center,,(215) 496-0707,"1080 N Delaware Avenue#600Philadelphia, PA 19125"
Pike,Private Psychiatry Practice,The Family Center for Behavioral Health,https://www.drbobdeyoung.com/home2/,(570) 296-3825,"104 West High StreetMilford, PA 18337"
McKean,Community Organization,"The Guidance Center- Kane, PA office",http://www.guidancecenter.net/kane-pa/,(814) 837-7171,"300 N. Fraley StreetKane, PA 16735"
Centre,Community Organization PHP/IOP Psychiatric Hospital,The Meadows Psychiatric Center,https://themeadows.net/,(814) 364-2161,"132 The Meadows DrCentre Hall, PA 16828"
Indiana,Community Organization,The Open Door,https://www.theopendoor.org/,(724) 465-2605,"665 Philadelphia Street2nd FloorIndiana, PA 15701"
Juniata,Community Organization,The ReDCo Group,https://www.pathwaysofpa.com/services/the-redco-group/,(833) 249-0225,"23 Industrial CircleMifflintown, PA 17059"
Carbon,Community Organization,"The ReDCo Group, Inc., Behavioral Health Servies, Pocono Region",https://www.pathwaysofpa.com/services/the-redco-group/,(610) 377-8525,"777 Blakeslee Blvd. Drive EastLehighton, PA 18235"
Philadelphia,Community Organization,The Village,,(610) 519-1493,"6517 Chester AvenuePhiladelphia, PA 19142"
Philadelphia,Community Organization,The Wedge – Juniper Office,,(215) 276-3922,"1939 S. Juniper StPhiladelphia, PA 19148"
Wayne,Primary Care Physician Office/Health Center,The Wright Center,https://thewrightcenter.org/locations/hawley/,(570) 576-8081,"103 Spruce StreetHawley, PA 18428"
Lackawanna,Primary Care Physician Office/Health Center,The Wright Center,www.thewrightcenter.org,(570) 941-0630,"501 South Washington AvenueSuite 1000Scranton, PA 18505"
Centre,Private Psychiatry Practice,Therapeutic Alliance,,,"315 S. Allen St.#422State College, PA 16801"
Mercer,College Counseling Center College/University,Thiel College; Thiel College Counseling Center,https://www.thiel.edu/     https://www.thiel.edu/campus_life/health-and-wellness/counseling-center,(800) 248-4435,"75 College AvenueGreensville, PA 16125"
Philadelphia,Secondary Schools,Thomas A. Edison HS,https://edison.philasd.org/,(215) 400-3900,"151 W Luzerne StreetPhiladelphia, PA 19140"
Philadelphia,Crisis Center/Hospital,Thomas Jefferson University Hospital,,(215) 955-8333,"111 S 11th StreetPhiladelphia, PA 19107"
Philadelphia,General Hospital,Thomas Jefferson University Hospital,https://www.jeffersonhealth.org/locations/thomas-jefferson-university-hospital,(215) 955-6000,"111 S. 11th StreetPhiladelphia, PA 19107"
Montgomery,College/University,"Thomas Jefferson University, Abington-Dixon",https://www.jefferson.edu/,,"300 Lakeside DriveHorsham, PA 19044"
Bucks,College/University,"Thomas Jefferson University, Bucks County Technology Park",https://www.jefferson.edu/,,"4800 East Street RoadTrevose, PA 19053"
Lancaster,Primary Care Physician Office/Health Center,TEAMCare Behavioral Health,https://teamcarebh.com/about-us/,(717) 391-0172,"1808 Colonial Village LaneSuite 103Lancaster, PA 17601"
Philadelphia,Secondary Schools,TECH Freire Charter HS,http://techfreire.org/,(267) 507-1111,"2221 N Broad StreetPhiladelphia, PA 19132"
Berks,Community Organization,"TEM Care Behavioral Health, LLC",https://www.temcarebehavioral.com/,(610) 750-9346 Ext: 101,"237 Court Street#301Reading, PA 19601"
Philadelphia,College/University,Temple University,https://www.temple.edu/,(215) 204-7000,"1801 N. Broad StreetPhiladelphia, PA 19122"
Philadelphia,Community Organization,Temple University Collaborative on Community Inclusion of People with Psychiatric Disabilities,http://www.tucollaborative.org/,(215) 204-4062,"1700 N. Broad StreetSuite 313Philadelphia, PA 19122"
Philadelphia,Community Organization,Temple University Ellman Lab,,,"1701 North 13th StPhiladelphia, PA 19122"
Philadelphia,General Hospital,Temple University Hospital – Main Campus,https://www.templehealth.org/locations/temple-university-hospital,(800) 836-7536,"3401 N Broad StreetPhiladelphia, PA 19140"
Philadelphia,Community Organization Crisis Center/Hospital,Temple University Hospital Episcopal Campus,,(215) 707-8496,"100 E Lehigh AvenuePhiladelphia, PA 19125"
Philadelphia,College Counseling Center,Temple University Tuttleman Counseling Services,,(215) 204-7276,"1700 N Broad Street2nd FloorPhiladelphia, PA 19121"
Lancaster,Community Organization,TEMPO Clubhouse,https://paclubhousecoalition.org/regions/central/tempo-clubhouse,,"1861 Charter LaneSuite 118Lancaster, PA 17601"
Allegheny,Parent Organization,Tenth Street Elementary,,(412) 828-1800,"901 Pennsylvania AvenueOakmont, PA 15139"
Lancaster,College Counseling Center,Thaddeus Stevens College of Technology Counseling Services,https://stevenscollege.edu/counseling-accessibility-services/counseling-services/,(717) 537-0641,"750 E. King St.Lancaster, PA 17602"
Lackawanna,Outpatient Behavioral Health Center,The Aaron Center,https://aaroncenter.com/contact-us/,(570) 489-5561,"116 Larch Street3rd FloorScranton, PA 18509"
Lackawanna,Community Organization,The Advocacy Alliance; NAMI Northeast Region PA; NAMI Lackawanna County,https://www.naminepa.org/,(877) 315-6855,"846 Jefferson AvenueScranton, PA 18501"
Carbon,Primary Care Physician Office/Health Center,The Advocacy Alliance,https://theadvocacyalliance.org/index.html,(610) 377-3794,"460 South 7th StreetLehighton, PA 18235"
Philadelphia,Community Organization,The Alliance of Community Service Providers,https://thealliancecsp.org/,(267) 385-7440,"2137 E. Huntingdon St.E-2000Philadelphia, PA 19125"
Montgomery,College/University,The American College of Financial Services,https://www.theamericancollege.edu/,(610) 526-1000,"630 Allendale RoadSuite 400King of Prussia, PA 19406"
Lancaster,"Community Organization Other, specify below","The Arc, Lancaster/Lebanaon",https://www.thearclancleb.org/,(717) 394-5251,"116 W Airport RdSuite ALititz, PA 17543"
Centre,Community Organization,The Behavioral Health Alliance of Rural Pennsylvania (BHARP),https://bharp.org/,(814) 826-2952,"301 Science Park RoadState College, PA 16803"
Philadelphia,Community Organization PHP/IOP,The Bridge,,(215) 342-5000,"1100 Adams AvenuePhiladelphia, PA 19124"
Sullivan,Secondary Schools,Sullivan County High School,https://www.sulcosd.k12.pa.us/Domain/53,(570) 946-7001,"749 South StreetLaporte, PA 18626"
Sullivan,Primary Care Physician Office/Health Center,Sullivan County Medical Center,NA,(570) 946-5101,"217 King StreetLaporte, PA 18626"
Allegheny,Parent Organization,Sunnyside PreK-8 PTO,,(412) 529-2040,"4801 Stanton AvePittsburgh, PA 15206"
Centre,Private Psychiatry Practice,Sunpointe Health,https://www.sunpointehealth.com,(814) 867-0670,"320 Rolling Ridge DrState College, PA 16801"
Warren,Private Psychiatry Practice,"Sunrise Collaborative, LLC",https://www.sunrisecollaborative.com/,(814) 230-9111,"1048 Pennsylvania Ave W.Warren, PA 16365"
Westmoreland,Parent Organization Secondary Schools,Sunrise Estates Elementary School; PTO,https://sr.penntrafford.org/,(724) 864-6700,"171 Sunrise DriveIrwin, PA 15642"
Susquehanna,Primary Care Physician Office/Health Center,Susquehanna County,,(570) 278-3889,"157 Spruce St.Suite 2Montrose, PA 18801-1225"
Susquehanna,Primary Care Physician Office/Health Center,Susquehanna Family Health Clinic,https://www.susquehannafamilyhealth.com/,(570) 853-3995,"401 Broad AvenueSusquehanna, PA 18847"
Snyder,College Counseling Center College/University,Susquehanna University; Susquehanna University Counseling and Psychological Services,https://www.susqu.edu/     https://www.susqu.edu/healthy-hawks/counseling-and-psychological-services/,(570) 374-0101,"514 University AvenueSelinsgrove, PA 17870"
Delaware,College Counseling Center College/University,Swarthmore College; Swarthmore College Counseling and Psychological Services,https://www.swarthmore.edu/,(610) 328-8000,"500 College AvenueWorth Health Center, North WingSwarthmore, PA 19081"
Beaver,Private Psychiatry Practice,"Sweetwater Behavioral Health & Wellness, PC",https://www.sweetwaterbhw.com/,(412) 347-1978,"22 Beaver StreetAmbridge, PA 15003"
Philadelphia,Secondary Schools,Swenson Arts and Technology,https://swenson.philasd.org/,(215) 400-3140,"2750 Red Lion RoadPhiladelphia, PA 19114"
Monroe,Parent Organization,Swiftwarter Elementary Center PTO,,(570) 839-7121 Ext: 29400,"135 Academic DriveSwiftwater, PA 18370"
Monroe,Parent Organization,Swiftwarter Intermediate Center PTO,,(570) 839-7121 Ext: 60400,"208 Campus DriveSwiftwater, PA 18370"
Monroe,Primary Care Physician Office/Health Center,Swiftwater Family Practice,,(570) 424-1500,"1581 PA-611Stroudsburg, PA 18360"
Cambria,Private Psychiatry Practice,SWITCH Mental Health Services,https://switchmhs.clientsecure.me/,(814) 713-1840,"903 Old Scalp AvenueJohnstown, PA 15904"
Luzerne,Community Organization,Luzerne-Wyoming Counties System of Care Initiative,https://www.luzernecounty.org/945/Luzerne-Wyoming-Counties-System-of-Care-,(570) 408-1332,"Luzerne County Courthouse200 N River StreetWilkes-Barre, PA 18711"
Lancaster,Primary Care Physician Office/Health Center,T.W. Ponessa & Associates,https://www.twponessa.com/,(717) 560-7917,"410 N. Prince St.Lancaster, PA 17603"
Philadelphia,"Community Organization Other, specify below",Tasker Street Missionary Baptist Church,https://www.facebook.com/TSMBC2/,(215) 389-8282,"2010 Tasker StreetPhiladelphia, PA 19145"
Allegheny,Outpatient Behavioral Health Center Private Psychiatry Practice,Taylor Lee Health and Wellness,https://taylorleehw.com/,(412) 745-2800,"929 Western AvenueFloor 1Pittsburgh, PA 15233"
Philadelphia,PHP/IOP,Stepping Stones Children’s PHP,,(215) 849-4300,"5534 Pulaski AvenuePhiladelphia, PA 19144"
Westmoreland,Parent Organization Secondary Schools,Stewart Elementary School; PTA,,(724) 334-1483,"2880 Leechburg RoadLower Burrell, PA 15068"
Westmoreland,Parent Organization Secondary Schools,Stewartsville Elementary School: PTO,https://stewartsvilleschool.norwinsd.org/,(724) 861-3030,"101 Carpenter LaneNorth Huntingdon, PA 15642"
Clearfield,Primary Care Physician Office/Health Center,Still Waters Family Health Services,https://stillwatersmh.com/,(814) 205-4025,"216 North 2nd StreetSuite 5Clearfield, PA 16830"
Allegheny,Primary Care Physician Office/Health Center,"Sto-Rex Neighborhood Health Council, Inc.",www.storox.org,(412) 771-6462,"710 Thompson AvenueMcKess Rocks, PA 15136"
Allegheny,Secondary Schools,Sto-Rox Junior/Senior High School,,(412) 771-3213,"1105 Valley StreetMcKees Rocks, PA 15136"
Allegheny,Secondary Schools,Sto-Rox Upper Elementary School; Sto-Rox School District,,(412) 771-3213,"298 Ewing RoadMcKees Rocks, PA 15136"
Wayne,Secondary Schools,Stourbridge Primary Center,,(570) 253-3010,"123 ABC DriveHonesdale, PA 18431"
Centre,Community Organization,"Strawberry Fieldss, Inc",https://sfionline.org/contact-us/,(814) 234-6023,"3054 Enterprise DrState College, PA 16801"
Philadelphia,Secondary Schools,Strawberry Mansion HS,https://smhs.philasd.org/,(215) 400-7500,"3133 Ridge AvenuePhiladelphia, PA 19132"
Allegheny,Parent Organization,Streams Elementary School PTO,,(412) 833-1600 Ext: 6000,"1560 Ashlawn DriveUpper St. Clair, PA 15241"
Monroe,"Community Organization Other, specify below",Resources for Human Development – Street2Feet,https://www.rhd.org/street2feet,(570) 369-1299,"130 N. 1st StreetSuite 102Stroudsburg, PA 18360"
Monroe,Secondary Schools,Stroudsburg Area School District,,(570) 421-1990,"123 Linden StreetStroudsburg, PA 18360"
Monroe,Secondary Schools,Stroudsburg High School,https://high.sburg.org,(570) 421-1991,"1100 W Main StStroudsburg, PA 18360"
Monroe,Secondary Schools,Stroudsburg High School,,(570) 421-1991,"1100 West Main StreetStroudsburg, PA 18360"
Monroe,Secondary Schools,Stroudsburg Junior High School,,(570) 424-4848,"1901 Chipperfield DriveStroudsburg, PA 18360"
Monroe,Parent Organization Secondary Schools,Stroudsburg Middle School; PTA,,(570) 213-0203,"207 Mountaineer DriveStroudsburg, PA 18360"
Montgomery,General Hospital,Suburban Community Hospital,https://suburbanhosp.org/,(610) 278-2000,"2701 Dekalb PikeNorristown, PA 19401"
Philadelphia,Community Organization,Suburban Station Career Link,,(215) 963-2100,"1617 John F Kennedy BlvdPhiladelphia, PA 19103"
Mercer,Private Psychiatry Practice,"Sue-Ellen Brown, PsyD LLC",https://sue-ellen-brown-psyd-llc.business.site/?utm_source=gmb&utm_medium=referral,(724) 662-4800,"102 North Pitt StreetMercer, PA 16137"
Carbon,PHP/IOP,St. Luke’s Innovations,https://findalocation.slhn.org/details/11175,(610) 852-4061,"512 Bank StreetBowmanstown, PA 18030"
Schuylkill,General Hospital,St. Luke’s Miners Campus,https://www.slhn.org/miners,(866) 785-8537,"360 West Ruddle StreetCoaldale, PA 18218"
Lehigh,General Hospital,St. Luke’s Sacred Heart Campus,https://www.slhn.org/Sacred-Heart,(866) 785-8537,"421 Chew StreetAllentown, PA 18102"
Bucks,General Hospital,St. Mary Medical Center,https://www.trinityhealthma.org/location/st-mary-medical-center,(215) 710-2000,"1201 Langhorne-Newtown RoadLanghorne, PA 19047"
Carbon,Outpatient Behavioral Health Center,St.Luke’s Behavioral Health Walk-in Center,https://www.slhn.org/psychiatry-and-behavioral-health/outpatient/behavioral-health-walk-in-center,(610) 577-0555,"211 North 12th StreetLehighton, PA 18235"
Bucks,General Hospital,St. Lukes – Quakertown Campus,https://www.slhn.org/quakertown,(866) 785-8537,"1021 Park AvenueQuakertown, PA 18951"
Erie,Primary Care Physician Office/Health Center,Stairways Behavioral Health,https://www.stairwaysbh.org,(814) 453-5806,"2185 West 8th Street Erie, PA 16505"
Westmoreland,Parent Organization Secondary Schools,Stanwood Elementary School; CPAT,https://stw.hasdpa.net/,(724) 838-4000,"255 Arona RoadNew Stanton, PA 15672"
Lehigh,Primary Care Physician Office/Health Center,Star Community Health,www.starcommunityhealth.org,(610) 377-7058,"520 East Broad StreetBethlehem, PA 18018"
Allegheny,Outpatient Behavioral Health Center PHP/IOP,STAR-Center / CO-STAR-Center Intensive Outpatient Clinic,https://www.starcenter.pitt.edu/clinical-services/co-star-center-intensive-outpatient-program,(412) 246-5619,"100 North Bellefield Avenue6th FloorPittsburgh, PA 15213"
Centre,Parent Organization Secondary Schools,State College Area High School; PTSO,https://www.scasd.org/highschool,(814) 231-1111,"650 Westerly PkwyNorth BuildingState College, PA 16801"
Centre,Secondary Schools,State College Area School District,,(814) 231-1011,"240 Villa Crest Dr.State College, PA 16801"
Allegheny,PHP/IOP,Staunton Clinic – Bellevue,https://www.heritagevalley.org/pages/staunton-clinic-bellevue,(412) 749-6930,"612 Lincoln AvenueBellevue, PA 15202"
Allegheny,PHP/IOP,Staunton Clinic – Edgewood,https://www.heritagevalley.org/pages/staunton-clinic-edgeworth,(412) 749-7330,"111 Hazel LaneSuite 300Sewickley, PA 15143"
Allegheny,PHP/IOP,Staunton Clinic – West Allegheny,https://www.heritagevalley.org/pages/staunton-clinic-west-allegheny,(412) 749-7330,"400 Penn Lincoln DriveImperial, PA 15126"
Allegheny,PHP/IOP,Staunton Clinic – Wexford,https://www.heritagevalley.org/pages/staunton-clinic-wexford,(412) 749-7269,"119 VIP DriveSuite 202Wexford, PA 15090"
