County,Resource Type,Organization,Website,Phone,Address,Generated Description
Wayne,Secondary Schools,Wallenpaupack Area South Elementary School,,(570) 226-4557,"989 Main StreetNewfoundland, PA 18445","Wallenpaupack Area South Elementary School in Newfoundland, PA, focuses on fostering an inclusive educational environment for students. The school emphasizes guidance and health services, supports special programs like the Polar Pop for Special Olympics, and recognizes student achievements through initiatives like Good Citizens awards. They offer a Classroom Birthday Basket program for convenient birthday celebrations and provide various resources for parents, including a Parent/Student Handbook and attendance reporting. The school aims to create meaningful relationships within a diverse community, promoting respect, acceptance, and teamwork among all students."
Pike,Parent Organization Secondary Schools,Wallenpaupack North Primary School; PTO,,(570) 226-4557,"158 Atlantic AveHawley, PA 18428","Wallenpaupack North Primary School, located in Hawley, PA, is dedicated to fostering a supportive educational environment for young children. The Parent-Teacher Organization (PTO) promotes parental involvement and community engagement, ensuring a collaborative atmosphere for students. The school offers various resources including guidance services, health services, meal programs, and special recognition for good citizenship among students. For families, the school provides essential forms for attendance and registration, along with important safety measures for students with allergies. North Primary focuses on creating a nurturing space for children to thrive academically and socially."
Philadelphia,Secondary Schools,Walter Biddle Saul HS,https://saul.philasd.org/,(215) 400-3450,"7100 Henry AvenuePhiladelphia, PA 19128","Walter Biddle Saul High School, located in Philadelphia, PA, serves grades 9-12 and focuses on student leadership through hands-on agricultural and environmental education. The school promotes a community-driven approach, aligning with the FFA motto: ""Learning to Do, Doing to Learn, Earning to Live, Living to Serve."" Students engage in varied programs, clubs, and athletic activities that prepare them for post-secondary success. The Counselor's Corner offers essential support for students' academic and emotional well-being, fostering a nurturing environment for personal growth and development."
Warren,Secondary Schools,Warren Area High School,https://www.wcsdpa.org/o/wahs,(814) 723-3370,"345 East Fifth AvenueWarren, PA 16365","Warren Area High School, located at 345 East Fifth Avenue in Warren, PA, offers a supportive environment for students facing mental health challenges. The school provides access to counseling services, peer support groups, and educational resources to promote mental wellness. In addition, they facilitate workshops aimed at building resilience and coping strategies among students. The commitment to mental health is reflected in their proactive approach to fostering a safe and inclusive atmosphere for all students."
Warren,Primary Care Physician Office/Health Center,Warren County,,(814) 728-3566,"2027 Pennsylvania Ave.,  EastWarren, PA 16365","Warren County offers comprehensive mental and behavioral health services including crisis management, child and adolescent services (CASSP), and administrative case management. Their resource network encompasses support for drug and alcohol issues, developmental disabilities, and early intervention programs. Community advocacy and crisis line services are also available to assist individuals in need. Operated under Forest Warren Human Services, the facility prioritizes the mental well-being of the community and provides essential support throughout Warren County."
Warren,General Hospital,Warren General Hospital,https://www.wgh.org/#gsc.tab=0,(814) 723-3300,"Two Crescent Park WestWarren, PA 16365","Warren General Hospital, located in Warren, PA, offers a range of mental health services as part of its comprehensive healthcare programs. The facility prioritizes patient rights and privacy, providing support and accommodations tailored to individual needs. It features resources for community health assessment, financial assistance for medical billing, and options for volunteering. The hospital hosts events and acknowledges exceptional care through award nominations. With a focus on accessibility and patient-centered care, Warren General Hospital serves as a vital resource for those seeking mental health support and overall wellness in the community."
Warren,Psychiatric Hospital,Warren State Hospital,https://www.dhs.pa.gov/Services/Assistance/Pages/Warren-State-Hospital.aspx,(814) 723-5500,"33 Main Dr.Warren, PA 16365","Warren State Hospital (WSH) in Pennsylvania is a public psychiatric facility dedicated to long-term mental health treatment. Focusing on hope, healing, and recovery, WSH offers holistic therapeutic programs integrating treatment, rehabilitation, and education. Services include specialized care such as Dialectical Behavioral Therapy for women with Borderline Personality Disorder. WSH emphasizes individual dignity, personal rights, and culturally sensitive care. Admission requires a referral from an inpatient psychiatric facility, and programming is tailored to support individuals' transition back to community living, fostering growth and independence."
Philadelphia,Community Organization,Warwick Family Services- Child Centered Outpatient Clinic,,(267) 525-7000,"800 Clarmont AvenueSuite BPhiladelphia, PA 19020","Warwick Family Services offers a Child Centered Outpatient Clinic located in Bensalem, PA. The clinic provides a range of behavioral health services, including Intensive Family Based Treatment, Applied Behavior Analysis for autism, and Child and Adolescent Family Centered Outpatient Therapy. They focus on fostering emotional healing and support for children and families during challenging times. Additional programs include comprehensive adult outpatient services and telehealth options, catering to diverse needs within the community. Their approach emphasizes hope, help, and the importance of tailored therapeutic interventions."
Washington,College/University,Washington & Jefferson College,https://www.washjeff.edu/,(724) 222-4400,"60 S. Lincoln StreetWashington, PA 15301","Washington & Jefferson College, located in Washington, PA, offers a comprehensive Student Counseling Center dedicated to supporting mental health and well-being. The center provides resources such as individual counseling, group therapy, and workshops aimed at promoting emotional resilience and academic success. Tailored programs for various student needs—including disability services and diversity initiatives—foster an inclusive campus environment. With a commitment to ethical leadership and personal growth, W&J empowers students to thrive academically and personally, encouraging them to connect with counselors for ongoing support."
Washington,College Counseling Center,Washington & Jefferson College Student Health and Counseling Center,https://www.washjeff.edu/student-life/student-health-and-counseling-center/,(724) 223-6107,"10 N. College StreetNew Residence Hall, Ground LevelWashington, PA 15301","The Washington & Jefferson College Student Health and Counseling Center, located in New Residence Hall, offers confidential and culturally sensitive outpatient wellness services for students. It addresses a broad spectrum of concerns including stress, anxiety, depression, relationship difficulties, and academic issues. Services include individual and group counseling, urgent care, and a 24/7 crisis counseling line. The center emphasizes collaborative efforts to enhance student well-being and provides referrals for specialized care when needed. Operating Monday to Friday, the center aims to support students’ mental health and foster engagement within the campus community."
Washington,Primary Care Physician Office/Health Center,Washington County,,(724) 223-4540,"167 N. Main St.Suite 100Washington, PA 15301-4354","Washington County’s Department of Public Welfare focuses on enhancing the quality of family life through various programs. They offer healthcare services, developmental support for individuals with mental disorders and autism, as well as child development initiatives. Additionally, the department manages substance abuse services and oversees claims and contracting for medical assistance. Located in Washington, PA, the department plays a vital role in providing a diverse range of support aimed at fostering community well-being and assistance for families in need."
,"Other, specify below Outpatient Behavioral Health Center",Center for Community Resources,https://www.ccrinfo.org/services,,,"The Center for Community Resources (CCR) offers comprehensive mental health support services across various counties, focusing on crisis intervention and community-based assistance. Their trained staff provides 24/7 Crisis Chat for immediate support, ensuring that individuals in distress receive prompt help. CCR emphasizes inclusivity, serving individuals regardless of demographic background, and offers tailored support programs to cater to different community needs. With a commitment to equal opportunities and non-discrimination, CCR is a vital resource for mental health assistance, connecting users to essential services based on their specific county."
Washington,Community Organization,Washington County Department of Human Services,https://washingtoncountyhumanservices.com/agencies/behavioral-health-developmental-services  https://washingtoncountyhumanservices.com/agencies/drug-alcohol-services,(724) 228-6832,"100 W. Beau StreetBehavioral Health and Developmental Services, Suite 703Washington, PA 15301","The Washington County Department of Human Services provides comprehensive Behavioral Health and Developmental Services for individuals of all ages. Services include crisis care, outpatient treatment, case management, and housing support, focusing on mental health, intellectual and developmental disabilities, and substance use disorders. The agency emphasizes recovery-oriented care through individualized treatment plans, community participation, and collaboration with local providers. Key services encompass Early Intervention, Child and Adolescent services, and a 24-hour crisis line, ensuring accessible support for infants to older adults facing behavioral health challenges."
Allegheny,Parent Organization,Washington Elementary School,,(412) 344-2142,"735 Washington RoadPittsburgh, PA 15228","Washington Elementary School, located in Pittsburgh, PA, offers a comprehensive school counseling program designed to support students' social, emotional, and academic development. Led by certified school counselor Ms. Lori Morin, the program includes classroom lessons, small group counseling, and crisis support. The counselor collaborates with teachers, consults with parents, and provides referrals to community resources. Key topics addressed include family changes, classroom performance, peer relationships, and behavioral concerns. The program aligns with Pennsylvania standards and the American School Counselor Association's guidelines to ensure a supportive learning environment."
Lehigh,Secondary Schools,Washington Elementary School,https://was.allentownsd.org/,(412) 765-4940,"837 North Ninth StreetAllentown, PA 18102","Washington Elementary School in Allentown, PA, offers comprehensive educational programming alongside vital mental health support. The school features a dedicated counseling program that focuses on students’ emotional well-being, complemented by health resources such as Hazel Health. Families can access a student and family handbook, after-school activities, and an opportunity scholarship program. The school promotes a collaborative environment through its Parent Teacher Organization and various academic and extracurricular initiatives, creating a supportive community for students and their families."
Somerset,Primary Care Physician Office/Health Center,UPMC Western Behavioral Health at Somerset (outpatient center),https://www.upmc.com/locations/hospitals/western-psychiatric/services/outpatient-and-community-services/twin-lakes,(814) 443-1754,"223 S. Pleasant AvenueSuite 104Somerset, PA 15501","UPMC Western Behavioral Health at Somerset provides comprehensive outpatient services for substance use and mental health. Offering intensive outpatient programs for adults and teens, the center emphasizes individualized treatment plans, incorporating group, individual, and family therapy. Special interventions include DUI services, trauma-informed care, and evidence-based therapies such as Cognitive-Behavioral Therapy (CBT) and Dialectical Behavioral Therapy (DBT). The facility prioritizes holistic care with access to recreational activities and aftercare support to foster recovery. Located at 223 S. Pleasant Avenue, the center is dedicated to helping individuals navigate their mental health and addiction journeys effectively."
Somerset,Primary Care Physician Office/Health Center,UPMC Western Behavioral Health at Somerset (Twin Lakes Residential Services),https://www.upmc.com/locations/hospitals/western-psychiatric/services/outpatient-and-community-services/twin-lakes,(814) 443-3639,"224 Twin Lakes RoadSomerset, PA 15501","UPMC Western Behavioral Health at Somerset (Twin Lakes Residential Services) offers comprehensive substance use treatment, including withdrawal management, residential care, and outpatient services for both adults and youth. Established in 1983, it provides evidence-based therapies such as Cognitive-Behavioral Therapy (CBT) and Dialectical Behavioral Therapy (DBT). The facility emphasizes personalized recovery plans and aftercare support, including group and individual counseling, family therapy, and intensive outpatient programs. Twin Lakes also houses prevention and education initiatives to combat substance use in the community, targeting various age groups with programs like Botvin LifeSkills Training."
Blair,Community Organization,UPMC Western Behavioral Health of the Alleghenies (Children’s WBHA office),https://www.upmc.com/locations/hospitals/western-psychiatric/services/outpatient-and-community-services/wbh-alleghenies,(814) 946-0261,"400 Lakemont Park BoulevardAltoona, PA 16602","UPMC Western Behavioral Health of the Alleghenies (Children’s WBHA office), located in Altoona, PA, offers comprehensive outpatient and community-based mental health services for children and teens. Programs include individual, family, and group therapy, school-based counseling, and the HEARTS Partial Hospitalization program, which integrates academic and therapeutic support. Additional services include a Student Assistance Program to address behavioral issues impacting academic success, and service coordination to connect families with essential resources. A focus on family involvement ensures holistic support for healthier outcomes in youth mental health."
Blair,Community Organization,UPMC Western Behavioral Health of the Alleghenies (Main Adult WBHA office),https://www.upmc.com/locations/hospitals/western-psychiatric/services/outpatient-and-community-services/wbh-alleghenies,(814) 943-0414,"500 E. Chestnut AvenueAltoona, PA 16601","UPMC Western Behavioral Health of the Alleghenies (WBHA) in Altoona, PA, offers comprehensive outpatient and community-based mental health services for adults and children. Their programs include individual and group therapy, medication management, and substance use disorder support. Walk-in assessments, telepsychiatry, and certified peer support services enhance accessibility and care. The Lexington Clubhouse provides a recovery-focused community for psychiatric rehabilitation, while the PATH initiative offers housing support for those experiencing homelessness. Children’s services include outpatient counseling, in-school support, and a partial hospitalization program, ensuring holistic care for families facing behavioral health challenges."
Lycoming,General Hospital,UPMC Williamsport,https://www.upmc.com/locations/hospitals/williamsport,(570) 321-1000,"700 High StreetWilliamsport, PA 17701","UPMC Williamsport, located in Williamsport, PA, is a comprehensive acute care hospital offering a wide range of services including 24-hour emergency care, behavioral and mental health support, and specialized programs such as the UPMC Neurological Institute and UPMC Hillman Cancer Center. Established in 1873, the facility features 224 licensed beds and a dedicated pediatrics program. Patients have access to inpatient, outpatient, and surgical care, as well as essential support services to enhance overall health and recovery. Safety protocols, including mask recommendations, are in place for all visitors and staff."
Allegheny,Parent Organization,Upper St. Clair High School PTSO,,(412) 833-1600 Ext: 2236,"1825 McLaughlin Run RoadUpper St. Clair, PA 15241","The Upper St. Clair High School PTSO fosters collaboration among parents, students, and staff to enhance the educational experience. They support various activities, events, and initiatives funded by the Student Activity fee. Families are encouraged to participate in virtual PTSO meetings for updates from school leadership. The organization also seeks engaged parents for board positions and emphasizes a commitment to wellness and safety within the school community. Resources for families are provided, promoting involvement in enhancing student life and educational outcomes."
Allegheny,Secondary Schools,Upper St. Clair School District,https://www.uscsd.k12.pa.us/uscsd,(412) 833-1600 Ext: 2202,"1775 McLaughlin Run RoadUpper St. Clair, PA 15241","Upper St. Clair School District collaborates with Care Solace to enhance mental health support for students and families. This partnership provides access to verified local mental health care providers and substance-use treatment centers. Care Solace offers 24/7 assistance, ensuring prompt appointment scheduling—typically within days. Services are confidential, free, and optional, allowing families to seek help through a dedicated Care Companion or an anonymous online search. Additionally, school counselors can make direct referrals with parental consent. This resource is crucial for supporting the emotional well-being of the school community."
Montgomery,College/University,Ursinus College,https://www.ursinus.edu/,(610) 409-3000,"601 E Main StreetCollegeville, PA 19426","Ursinus College, located in Collegeville, PA, offers a vibrant, inclusive community focused on student success through innovative programs like APEX, designed to enhance career readiness. With an emphasis on experiential learning, students engage in research, global health exploration, and environmental studies at the Whitaker Environmental Research Station. The campus features diverse athletic and artistic opportunities, alongside mentorship from faculty across disciplines. Ursinus fosters resilience, curiosity, and leadership, preparing students to thrive in a rapidly changing world while facilitating meaningful networking and community engagement."
Montgomery,College Counseling Center,Ursinus College Counseling Services,,,"789 Main StreetWellness CenterCollegeville, PA 19426","Ursinus College Counseling Services, located at the Wellness Center in Collegeville, PA, offers comprehensive psychological support, including individual therapy, outreach, and crisis intervention. Services are available both in-person and virtually, ensuring accessibility for all students. An open crisis hour is held weekdays from 2:00-3:00 PM for immediate support. The Counseling Center emphasizes cultural competence, fostering a diverse and inclusive environment, and promotes personal growth, effective communication, and coping skills. Appointments must be scheduled in advance, and the center is committed to providing a safe, respectful atmosphere for all students seeking guidance."
Allegheny,Crisis Center/Hospital,VA Hospital of Pittsburgh,https://www.va.gov/pittsburgh-health-care/,(866) 482-7488,"University Drive CPittsburgh, PA 15240-1003","The VA Hospital of Pittsburgh provides comprehensive health care tailored for Veterans and their families. Located on University Drive, the facility offers a broad spectrum of mental health services, including crisis intervention and support through the Veterans Crisis Line. With experienced health care teams, the hospital focuses on enhancing the well-being of Veterans by addressing their unique needs. The VA Pittsburgh Healthcare System also hosts community events and provides resources to help manage stress, especially during challenging times like holidays. Mental health care is provided at a secondary location on Delafield Road, ensuring accessible support for all Veterans."
Luzerne,Secondary Schools,Valley Elementary/Middle School,,(570) 459-3221,"79 Rock Glen RoadSugarloaf, PA 18249","Valley Elementary/Middle School in Sugarloaf, PA, offers a range of mental health resources to support students and families. Their guidance program includes connections to services such as Northeast Counseling Services and Children's Behavioral Health Services. The school promotes mental well-being through initiatives like career development, character education programs, and collaboration with local community organizations. Additionally, they provide outreach for crisis support, including the National Suicide Prevention Hotline. Their holistic approach ensures that students receive comprehensive emotional and psychological support within a nurturing educational environment."
Chester,College/University,Valley Forge Christian College,https://valleyforge.edu/,(610) 935-0450,"1401 Charlestown RoadPhoenixville, PA 19460","The University of Valley Forge (UVF) in Phoenixville, PA, provides a supportive Christian environment with a focus on academic excellence and spiritual growth. It offers a variety of undergraduate and graduate programs, counseling services, and student success resources. The Counseling and Health Center addresses mental health and wellness, while student-led ministries and activities promote community engagement. The university emphasizes spiritual formation through core values and mission, preparing students for leadership in service to others. UVF fosters a diverse, close-knit community committed to supporting each individual's growth and development."
Chester,College/University,Valley Forge Military Academy and College,https://www.vfmac.edu/,(610) 989-1200,"1001 Eagle RoadWayne, PA 19087","Valley Forge Military Academy and College, located in Wayne, PA, is an esteemed leadership institution offering a military-style education for young men in grades 7-12 and co-ed two-year college programs. The Academy emphasizes holistic development, preparing cadets for future citizenship and leadership roles. The College, recognized as the Military College of Pennsylvania™, provides Associate degrees and features an Early Commissioning Program, unique in the northeast. Established in 1928, the institution fosters intellectual, physical, and leadership potential, aiming to cultivate the next generation of responsible leaders."
Lehigh,Primary Care Physician Office/Health Center,Valley Health Partners,www.valleyhealthpartners.org,(610) 969-2382,"400 North 17th StreetSuite 300Allentown, PA 18104","Valley Health Partners (VHP) is a community health center located in Allentown, PA, offering comprehensive mental health counseling at all primary care sites. They specialize in a wide array of services, including pediatric care, dental, and family medicine. VHP is dedicated to accessible healthcare for diverse communities, including healthcare for the homeless and veterans. Their newly added pediatric services in Monroe County make them the first Community Health Center in the area, emphasizing their commitment to children's health and well-being. VHP maintains extended hours to better serve its patients."
Westmoreland,Secondary Schools,Valley Junior/Senior High School,https://vjshs.nkasd.com/,(724) 337-4536,"703 Stevenson Blvd.New Kensington, PA 15068","Valley Junior/Senior High School, located in New Kensington, PA, focuses on empowering students to reach their potential through valuable support services. The school offers a variety of programs including academic departments, clubs, and extracurricular activities, fostering a respectful and engaging environment. Students can participate in community service opportunities and events like homecomings and sports. The educational support departments are dedicated to addressing mental health and academic needs, ensuring a comprehensive approach to student wellbeing and development. The school promotes lifelong learning and respect among peers, essential components of its educational philosophy."
Venango,Primary Care Physician Office/Health Center,Venango County,,(814) 677-0672,"3298 State Route 257P.O. Box 191Seneca, PA 16346","Venango County offers comprehensive mental health outpatient services, including individual, group, and family counseling for various concerns such as depression, anxiety, and low self-esteem. Services are tailored to individual and family needs, emphasizing personalized treatment plans to support recovery. Additional resources include Behavioral Health Rehabilitation, Family Behavioral Health, drug and alcohol case coordination, and therapeutic foster care. The program aims to address mental health issues effectively through local service providers, ensuring accessibility for families in need within the community."
Allegheny,Parent Organization,Verner Elementary School,,(412) 828-1800,"700 First StreetVerona, PA 15147","Verner Elementary School, located in Verona, PA, serves grades K-6 and strives to deliver a comprehensive educational experience. It emphasizes academic excellence, healthy physical development, and the importance of respect among peers. The school offers various resources, including a health office, counseling services, and special education support. Families can access the Parent Portal for updates and resources, while initiatives such as Safe2Say Something promote school safety. The dedicated staff, led by Principal Dr. Christina Monroe, is committed to instilling a passion for learning and preparing students for future challenges."
Wyoming,"Community Organization Other, specify below",Victims Resource Center,https://vrcnepa.org/services/,(570) 836-5544,"119 Warren StreetTunkhannock, PA 18657","The Victims Resource Center, located in Tunkhannock, PA, provides comprehensive, confidential support services for victims of crime across Luzerne, Carbon, and Wyoming Counties. Since 1974, they have offered 24/7 hotline support, accompaniment to medical facilities, and advocacy in legal settings. Services include assistance with crime victims’ compensation claims, filing orders for protection, and developing victim impact statements. They also facilitate community crisis response, individual counseling, and support groups aimed at empowering survivors. All services are free of charge, catering to individuals of all ages affected by crime and their loved ones."
Delaware,College Counseling Center College/University,Villanova University; Villanova University Counseling Services,https://www1.villanova.edu/university.html,(610) 519-4500,"800 Lancaster AvenueCounseling Center Room 206, Health Services BuildingVillanova, PA 19085","Villanova University Counseling Services, located at 800 Lancaster Avenue, provides comprehensive mental health support for students. The center offers individual counseling, group therapy, workshops, and crisis intervention. Emphasizing a holistic approach, the services address emotional, psychological, and social well-being. Counseling is provided by trained professionals in a confidential setting, helping students navigate personal challenges, stress, and academic pressures. The center fosters a supportive environment that encourages personal growth and resilience among the university's diverse student body."
Carbon,Private Psychiatry Practice,Vita Counseling Partners,https://vitacounselingpartners.com,(855) 826-8482,"3295 Forest Inn Rd.Suite 3Palmerton, PA 18071","Vita Counseling Partners, located in Palmerton, PA, offers comprehensive counseling services for individuals, couples, and families facing mental health challenges such as anxiety, depression, and relationship issues. Their team of licensed counselors employs various therapeutic approaches, including Evidence-Based Treatments (EBTs), to create personalized treatment plans. Services include short-term, mid-term, and long-term support for a wide range of mental health concerns, from adjustment disorders to serious mental illness. Telehealth options and flexible scheduling are available, along with acceptance of numerous insurance plans, including Medicaid, ensuring accessible care for all."
Allegheny,General Hospital,UPMC Mercy,https://www.upmc.com/locations/hospitals/mercy,(412) 232-8111,"1400 Locust StreetPittsburgh, PA 15219","UPMC Mercy, located in Pittsburgh, is a premier Catholic hospital offering comprehensive health care, including a dedicated Behavioral & Mental Health service. As a Level I Trauma Center, it provides specialized treatment in addition to a range of medical services such as Addiction Medicine and Burn Care. The facility houses the UPMC Rehabilitation Institute, focusing on recovery for stroke and brain injuries. The recent addition of the UPMC Mercy Pavilion enhances patient-centered rehabilitation and vision care. UPMC Mercy emphasizes compassionate care, ensuring accessible services for all individuals."
Lycoming,General Hospital,UPMC Muncy,https://www.upmc.com/locations/hospitals/muncy,(570) 546-8282,"215 E. Water StreetMuncy, PA 17756","UPMC Muncy, located in Muncy, PA, is a full-service critical access hospital offering a range of healthcare services, including behavioral and mental health support, general surgery, rehabilitation, and orthopaedics. The facility features 20 inpatient beds and a 138-bed skilled nursing facility with a dedicated dementia unit. UPMC Muncy prioritizes patient care with advanced diagnostic imaging, lab services, and an emergency department to address urgent health needs. The hospital has a long-standing tradition of community care, serving families in the region for nearly 100 years."
Lycoming,General Hospital,UPMC Muncy,https://www.upmc.com/locations/hospitals/muncy,(570) 546-8282,"215 E Water StreetMuncy, PA 17756","UPMC Muncy, located in Muncy, PA, is a full-service critical access hospital offering a range of medical services. With 20 inpatient beds and a skilled nursing facility, it provides advanced healthcare, including behavioral and mental health services, general surgery, orthopaedics, and rehabilitation. The hospital prioritizes patient and visitor support, ensuring effective communication and resources for care. UPMC Muncy also features an emergency department and specialized services such as cardiology and women’s health, underscoring its commitment to the community’s diverse healthcare needs."
Venango,General Hospital,UPMC Northwest,https://www.upmc.com/locations/hospitals/northwest,(814) 676-7600,"100 Fairfield DriveSeneca, PA 16346","UPMC Northwest, located in Seneca, PA, offers comprehensive mental health services including inpatient care and an outpatient behavioral health unit. The facility supports a range of specialties, from cancer care to cardiology, ensuring a holistic approach to health. Visitors can access various patient resources and participate in classes and events tailored to enhancing community well-being. UPMC emphasizes patient support, providing telemedicine options and health education to promote healthy living. Additionally, strict safety measures are in place, including mask recommendations, ensuring a safe environment for patients and visitors."
Clinton,Primary Care Physician Office/Health Center,UPMC Outpatient Center,https://www.upmc.com/locations/outpatient/north-central-pa/lock-haven/high-st,(800) 533-8762,"610 High StreetLock Haven, PA 17745","The UPMC Outpatient Center in Lock Haven offers comprehensive healthcare services, including family medicine, cardiology, and women's health. Dedicated to providing high-quality care in a comfortable environment, the center is open Monday through Friday, 8 a.m. to 5 p.m. Key services include heart and vascular care, primary care, and occupational health. The facility emphasizes community wellness and ensures accessible healthcare to residents, supporting a range of medical needs. Visitors are advised to wear masks upon entry for safety."
Clinton,Primary Care Physician Office/Health Center,UPMC Outpatient Center,https://www.upmc.com/locations/outpatient/north-central-pa/lock-haven/outlet-ln,(570) 769-1300,"1 Outlet LaneSuite 400Lock Haven, PA 17745","UPMC Outpatient Center in Lock Haven, PA, offers comprehensive outpatient services to support the health of the Clinton County community. It provides a range of services including behavioral and mental health, primary care, imaging, and lab services, among others. The facility emphasizes preventive care, chronic disease management, and acute illness treatment in a comfortable environment. Operating hours are Monday through Thursday from 7 a.m. to 7 p.m., Friday from 7 a.m. to 5 p.m., and Saturday from 8 a.m. to Noon, ensuring accessible healthcare for all residents."
Lancaster,Primary Care Physician Office/Health Center,UPMC Outpatient Center- Manheim Pike Primary Care,https://www.upmc.com/services/south-central-pa/primary-care/locations/lancaster/manheim-pike,(717) 869-4689,"1160 Manheim PikeSuite 102Lancaster, PA 17601","UPMC Outpatient Center - Manheim Pike Primary Care, located at 1160 Manheim Pike, Suite 102, Lancaster, PA, provides comprehensive family medicine and primary care services. With a team of board-certified doctors, the center prioritizes high-quality healthcare tailored to meet the needs of families. Operating hours include Mondays, Wednesdays, Thursdays, and Fridays from 8 a.m. to 5 p.m., with extended Tuesday hours until 8 p.m. Patients are encouraged to schedule appointments or access a range of healthcare services, including behavioral and mental health support. Masks are recommended for all entering the facility."
Allegheny,General Hospital,UPMC Passavant,https://www.upmc.com/locations/hospitals/passavant,(412) 367-6700,"9100 Babcock Blvd.Pittsburgh, PA 15237","UPMC Passavant, located in Pittsburgh's northern suburbs, is a state-of-the-art facility offering comprehensive medical services across multiple specialties, including Behavioral & Mental Health, Cancer, Emergency Care, and more. With two campuses in McCandless and Cranberry, UPMC Passavant provides advanced patient care and amenities such as a Healthy Lifestyle Center, nutrition counseling, pain management, and specialized programs like stroke and wound healing services. The hospital emphasizes community health support through various outpatient services and rehabilitation programs, making it a vital resource for individuals and families in the region."
Lancaster,General Hospital,UPMC Pinnacle Lancaster,https://www.upmc.com/locations/outpatient/south-central-pa/lancaster,(717) 869-4689,"1160 Manheim PikeLancaster, PA 17601","UPMC Pinnacle Lancaster, located at 1160 Manheim Pike, offers comprehensive outpatient care, including primary and specialized services such as behavioral and mental health, neurosurgery, pediatrics, and orthopaedics. The center is designed for patient convenience with extended hours and a “one-stop” approach to healthcare. It features advanced imaging and laboratory services, ensuring quality medical care. Patients can access various specialty services, including sleep medicine. UPMC emphasizes patient-centered care and is committed to community health. Visitors are encouraged to adhere to current health guidelines, including masking protocols within clinical buildings."
Lancaster,General Hospital,UPMC Pinnacle Lititz,https://www.upmc.com/locations/hospitals/lititz,(717) 625-5000,"1500 Highlands Dr.Lititz, PA 17543","UPMC Pinnacle Lititz, located at 1500 Highlands Drive, Lititz, PA, offers a comprehensive range of medical services, including emergency care, behavioral and mental health support, surgical services, and specialized programs like the Heart and Vascular Institute and Magee-Womens for obstetrics. The facility emphasizes quality care within a patient-centered environment, ensuring a healing atmosphere for all patients. UPMC Lititz provides various patient resources, such as health classes, community events, and access to health information through its Central PA Portal, making it a vital community health resource."
Allegheny,General Hospital,UPMC Presbyterian,https://www.upmc.com/locations/hospitals/presbyterian,(412) 647-2345,"200 Lothrop StPittsburgh, PA 15213","UPMC Presbyterian, located at 200 Lothrop St, Pittsburgh, PA, is a comprehensive medical-surgical referral hospital that offers specialized care, including behavioral and mental health services. The facility is part of the UPMC Presbyterian Shadyside Oakland campus, which also houses UPMC Montefiore and UPMC Western Psychiatric Hospital. Known for its advanced medical treatment, UPMC Presbyterian provides a wide range of services, such as neurology, trauma care, and rehabilitation, all while emphasizing patient-focused care and research programs. The hospital is also a Comprehensive Stroke Center, designated for high-quality stroke care."
Allegheny,Primary Care Physician Office/Health Center,UPMC Renaissance Family Practice,https://www.rfpcares.com/locations/,(412) 487-4422,"619 Mount Royal Blvd.Pittsburgh, PA 15223","UPMC Renaissance Family Practice, located at 619 Mount Royal Blvd, Pittsburgh, PA, offers compassionate healthcare emphasizing wellness for all ages. They provide a range of services including routine check-ups, preventative care, and chronic disease management. With multiple convenient locations in the Greater Pittsburgh area, patients can access personalized care from dedicated healthcare professionals. The practice focuses on being at the forefront of healthcare while serving the community effectively. They also welcome new patients and are committed to improving overall health and well-being for individuals and families alike."
Lycoming,Primary Care Physician Office/Health Center,UPMC Rider Medical Office Building,https://www.upmc.com/locations/outpatient/north-central-pa/williamsport/rider,(570) 320-7800,"1205 Grampian BoulevardThomas J. Rider Medical Office Building, Suite 1AWilliamsport, PA 17701","The Thomas J. Rider Medical Office Building in Williamsport, PA, offers a range of primary and specialty care services, including behavioral and mental health, family medicine, dermatology, and more. Located on the UPMC Williamsport Divine Providence Campus, it operates Monday through Friday from 8 a.m. to 5 p.m. The facility is committed to patient safety, encouraging masks for all who enter. With additional resources like financial assistance and medical records access, it aims to provide comprehensive and supportive healthcare to the community."
Allegheny,General Hospital,UPMC Shadyside,https://www.upmc.com/locations/hospitals/shadyside,(412) 623-2121,"5230 Centre AvePittsburgh, PA 15232","UPMC Shadyside, located in Pittsburgh, is a 520-bed non-profit teaching hospital that offers comprehensive medical services, including an emergency department and specialized care at the UPMC Hillman Cancer Center. Affiliated with the University of Pittsburgh School of Medicine, it provides advanced treatment options and medical education. Known for its innovative care, particularly in cardiology and oncology, UPMC Shadyside has been recognized for excellence in LGBTQ health initiatives. The facility features modern amenities and a helipad for rapid patient transport, ensuring timely access to critical care."
Allegheny,General Hospital,UPMC St. Margaret,https://www.upmc.com/locations/hospitals/st-margaret,(412) 784-4000,"815 Freeport Rd.Pittsburgh, PA 15215","UPMC St. Margaret, an award-winning hospital located in Aspinwall, PA, offers a comprehensive range of services including emergency and family medicine, general surgery, and orthopaedic care. Recognized for nursing excellence with Magnet® designation, the facility ensures high-quality care and leadership. UPMC St. Margaret prioritizes patient support through community and outpatient services, physical and occupational therapy, and senior services, aiming to provide comprehensive care close to home. The hospital is committed to the well-being of its patients, staff, and visitors by adhering to updated health guidelines."
